5,l4iy,", already has recent scan recorded for, 2021-11-07",2022-02-03 23:14:45.973744
6,l4g5,", already has recent scan recorded for, 2021-11-07",2022-02-03 23:14:45.973744
7,l4as,", already has recent scan recorded for, 2021-11-07",2022-02-03 23:14:45.973744
0,f3u9,", already has recent scan recorded for, 2021-11-07",2022-02-03 23:14:45.977745
1,l4iy,", already has recent scan recorded for, 2021-11-07",2022-02-03 23:14:45.977745
2,l4g5,", already has recent scan recorded for, 2021-11-07",2022-02-03 23:14:45.977745
3,l4as,", already has recent scan recorded for, 2021-11-07",2022-02-03 23:14:45.977745
4,f3u9,", already has recent scan recorded for, 2021-11-07",2022-02-03 23:14:45.977745
5,l4iy,", already has recent scan recorded for, 2021-11-07",2022-02-03 23:14:45.977745
6,l4g5,", already has recent scan recorded for, 2021-11-07",2022-02-03 23:14:45.977745
7,l4as,", already has recent scan recorded for, 2021-11-07",2022-02-03 23:14:45.977745
0,l4as,", already has recent scan recorded for, 2021-11-07",2022-02-03 23:16:29.726105
1,l4gv,", successfully has new scan date recorded for, 2021-11-07",2022-02-03 23:16:29.726105
2,5lxf,", successfully has new scan date recorded for, 2021-11-07",2022-02-03 23:16:29.726105
3,l4ai,", successfully has new scan date recorded for, 2021-11-07",2022-02-03 23:16:29.726105
4,5l25,", successfully has new scan date recorded for, 2021-11-07",2022-02-03 23:16:29.726105
5,l4gu,", successfully has new scan date recorded for, 2021-11-07",2022-02-03 23:16:29.726105
0,l4as,", already has recent scan recorded for, 2021-11-07",2022-02-03 23:16:29.743470
1,l4gv,", successfully has new scan date recorded for, 2021-11-07",2022-02-03 23:16:29.743470
2,5lxf,", successfully has new scan date recorded for, 2021-11-07",2022-02-03 23:16:29.743470
3,l4ai,", successfully has new scan date recorded for, 2021-11-07",2022-02-03 23:16:29.743470
4,5l25,", successfully has new scan date recorded for, 2021-11-07",2022-02-03 23:16:29.743470
5,l4gu,", successfully has new scan date recorded for, 2021-11-07",2022-02-03 23:16:29.743470
0,l4gu,", already has recent scan recorded for, 2021-11-07",2022-02-03 23:19:37.644177
1,5m23,", successfully has new scan date recorded for, 2021-11-07",2022-02-03 23:19:37.644177
2,5lxi,", successfully has new scan date recorded for, 2021-11-07",2022-02-03 23:19:37.644177
