15,fsjc,", has new scan date recorded, 2021-11-07",2022-02-03 23:19:45.346563
16,bv2y, found,2022-02-03 23:19:45.346563
17,bv2y,", has new scan date recorded, 2021-11-07",2022-02-03 23:19:45.346563
18,buv9, found,2022-02-03 23:19:45.346563
19,buv9,", has new scan date recorded, 2021-11-07",2022-02-03 23:19:45.346563
20,bv2y, found,2022-02-03 23:19:45.346563
21,bv2y,", already has scan date recorded for, 2021-11-07",2022-02-03 23:19:45.346563
22,buv9, found,2022-02-03 23:19:45.346563
23,buv9,", already has scan date recorded for, 2021-11-07",2022-02-03 23:19:45.346563
24,bv2y, found,2022-02-03 23:19:45.346563
25,bv2y,", already has scan date recorded for, 2021-11-07",2022-02-03 23:19:45.346563
26,buv9, found,2022-02-03 23:19:45.346563
27,buv9,", already has scan date recorded for, 2021-11-07",2022-02-03 23:19:45.346563
0,l4gu, found,2022-02-03 23:19:46.602697
1,l4gu,", already has scan date recorded for, 2021-11-07",2022-02-03 23:19:46.602697
2,5m23, found,2022-02-03 23:19:46.602697
3,5m23,", has new scan date recorded, 2021-11-07",2022-02-03 23:19:46.602697
4,5lxi, found,2022-02-03 23:19:46.602697
5,5lxi,", has new scan date recorded, 2021-11-07",2022-02-03 23:19:46.602697
6,f3t3, found,2022-02-03 23:19:46.602697
7,f3t3,", has new scan date recorded, 2021-11-07",2022-02-03 23:19:46.602697
8,l4gt, found,2022-02-03 23:19:46.602697
9,l4gt,", has new scan date recorded, 2021-11-07",2022-02-03 23:19:46.602697
10,l4al, found,2022-02-03 23:19:46.602697
11,l4al,", has new scan date recorded, 2021-11-07",2022-02-03 23:19:46.602697
12,fsjb, found,2022-02-03 23:19:46.602697
13,fsjb,", has new scan date recorded, 2021-11-07",2022-02-03 23:19:46.602697
14,fsjc, found,2022-02-03 23:19:46.602697
15,fsjc,", has new scan date recorded, 2021-11-07",2022-02-03 23:19:46.602697
16,bv2y, found,2022-02-03 23:19:46.602697
17,bv2y,", has new scan date recorded, 2021-11-07",2022-02-03 23:19:46.602697
18,buv9, found,2022-02-03 23:19:46.602697
19,buv9,", has new scan date recorded, 2021-11-07",2022-02-03 23:19:46.602697
20,bv2y, found,2022-02-03 23:19:46.602697
21,bv2y,", already has scan date recorded for, 2021-11-07",2022-02-03 23:19:46.602697
22,buv9, found,2022-02-03 23:19:46.602697
23,buv9,", already has scan date recorded for, 2021-11-07",2022-02-03 23:19:46.602697
24,bv2y, found,2022-02-03 23:19:46.602697
25,bv2y,", already has scan date recorded for, 2021-11-07",2022-02-03 23:19:46.602697
26,buv9, found,2022-02-03 23:19:46.602697
27,buv9,", already has scan date recorded for, 2021-11-07",2022-02-03 23:19:46.602697
28,bv2y, found,2022-02-03 23:19:46.602697
29,bv2y,", already has scan date recorded for, 2021-11-07",2022-02-03 23:19:46.602697
30,buv9, found,2022-02-03 23:19:46.602697
31,buv9,", already has scan date recorded for, 2021-11-07",2022-02-03 23:19:46.602697
